Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Confidential,4-8 Yrs,"New Delhi, Pune, Bangalore",Not Rated,Not Disclosed,4.0,8.0,,
Data Analyst,Confidential,2-7 Yrs,New Delhi,Not Rated,Disclosed,2.0,7.0,4.0,8.0
data analyst / data analytics-- US MNC (Analytics),Confidential,3-7 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,3.0,7.0,15.0,30.0
Data Analyst,HCLTech,4-5 Yrs,New Delhi,3.5,Disclosed,4.0,5.0,7.0,9.0
Data Analyst,Confidential,4-7 Yrs,New Delhi,Not Rated,Disclosed,4.0,7.0,15.0,17.0
Data Analyst,Confidential,4-7 Yrs,New Delhi,Not Rated,Disclosed,4.0,7.0,10.0,20.0
Data Analyst,Shalimar Group,5-10 Yrs,Remote,3.8,Disclosed,5.0,10.0,15.0,30.0
Data Analyst,Maruti Suzuki,4-9 Yrs,New Delhi,4.2,Not Disclosed,4.0,9.0,,
Data Analyst,Groundtruth,2-7 Yrs,"New Delhi, Pune, Bangalore",3.4,Not Disclosed,2.0,7.0,,
data analyst / Marketing analytics-- US MNC (Analytics),Confidential,4-8 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,4.0,8.0,15.0,30.0
Data Analyst,FedEx TSCS (India) Pvt Ltd,4-8 Yrs,"New Delhi, Pune, Bangalore",4.0,Not Disclosed,4.0,8.0,,
Data Analyst,PVH,4-6 Yrs,"New Delhi, Pune, Bangalore",4.3,Not Disclosed,4.0,6.0,,
Data Analyst,Thinksys Software,5-10 Yrs,Remote,3.8,Not Disclosed,5.0,10.0,,
Data Analyst,Maruti Suzuki,4-9 Yrs,New Delhi,4.2,Not Disclosed,4.0,9.0,,
Data Analyst,Axtria,6-11 Yrs,"New Delhi, Bangalore",3.0,Not Disclosed,6.0,11.0,,
Data Analyst,Bobble App,2-7 Yrs,"New Delhi, Bangalore",3.5,Not Disclosed,2.0,7.0,,
Data Analyst,RSM India,3-8 Yrs,"New Delhi, Bangalore",3.4,Not Disclosed,3.0,8.0,,
Data Analyst,Luminar Technologies,8-13 Yrs,"New Delhi, Pune, Bangalore",2.7,Not Disclosed,8.0,13.0,,
Data Analyst,Confidential,4-5 Yrs,New Delhi,Not Rated,Not Disclosed,4.0,5.0,,
Data Analyst,Axa Xl,3-6 Yrs,"New Delhi, Bangalore",3.7,Not Disclosed,3.0,6.0,,
Data Analyst,Infinite,7-12 Yrs,"New Delhi, Bangalore",3.4,Not Disclosed,7.0,12.0,,
Data Analyst,Confidential,0-4 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,4.0,,
Data Analyst,Genpact,1-6 Yrs,New Delhi,3.8,Not Disclosed,1.0,6.0,,
Data Analyst,Confidential,3-7 Yrs,New Delhi,Not Rated,Disclosed,3.0,7.0,17.0,18.0
Data Analyst,Trizteck,2-4 Yrs,New Delhi,2.0,Disclosed,2.0,4.0,4.0,8.0
Data Analyst,Zypp,1-3 Yrs,New Delhi,3.8,Not Disclosed,1.0,3.0,,
Data Analyst,Global Survey,1-5 Yrs,New Delhi,5.0,Not Disclosed,1.0,5.0,,
Data Analyst,Egon Zehnder,3-6 Yrs,New Delhi,3.8,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,8-13 Yrs,Remote,Not Rated,Disclosed,8.0,13.0,15.0,20.0
Data Analyst,Jaipuria Institute of Management Studies,3-6 Yrs,,4.1,Not Disclosed,3.0,6.0,,
Data Analyst,Confidential,3-5 Yrs,New Delhi,Not Rated,Not Disclosed,3.0,5.0,,
Data Analyst,Confidential,5-8 Yrs,New Delhi,Not Rated,Not Disclosed,5.0,8.0,,
